swap-root-safe-dir	swap	root	safe-dir
swap-root-link	swap	root	link
swap-root-file	swap	root	file
swap-project-safe-dir	swap	project	safe-dir
swap-project-link	swap	project	link
swap-project-file	swap	project	file
swap-session-safe-dir	swap	session	safe-dir
swap-session-link	swap	session	link
swap-session-file	swap	session	file
wrong-euid-root	wrong-euid	root	N/A
wrong-euid-project	wrong-euid	project	N/A
wrong-euid-session	wrong-euid	session	N/A
eexist-root-safe	eexist	root	safe
eexist-root-unsafe	eexist	root	unsafe
eexist-root-disappear	eexist	root	disappear
eexist-project-safe	eexist	project	safe
eexist-project-unsafe	eexist	project	unsafe
eexist-project-disappear	eexist	project	disappear
eexist-session-safe	eexist	session	safe
eexist-session-unsafe	eexist	session	unsafe
eexist-session-disappear	eexist	session	disappear
mkdir-replace-root	mkdir-replace	root	N/A
mkdir-replace-project	mkdir-replace	project	N/A
mkdir-replace-session	mkdir-replace	session	N/A
mkdir-failure-root	mkdir-failure	root	N/A
mkdir-failure-project	mkdir-failure	project	N/A
mkdir-failure-session	mkdir-failure	session	N/A
post-mkdir-disappear-root	post-mkdir-disappear	root	N/A
post-mkdir-disappear-project	post-mkdir-disappear	project	N/A
post-mkdir-disappear-session	post-mkdir-disappear	session	N/A
open-disappear-root	open-disappear	root	N/A
open-disappear-project	open-disappear	project	N/A
open-disappear-session	open-disappear	session	N/A
final-stat-disappear-root	final-stat-disappear	root	N/A
final-stat-disappear-project	final-stat-disappear	project	N/A
final-stat-disappear-session	final-stat-disappear	session	N/A
real-eio	real-eio	N/A	N/A
